2025-06-23 08:29:59 | INFO | PID:19344 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-23 08:29:59 | INFO | PID:19344 | Created new channel
2025-06-23 08:29:59 | INFO | PID:19344 | Declared queue: article-request-queue
2025-06-23 08:30:00 | INFO | PID:19344 | Available workers: ['testworker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-06-23 08:30:00 | INFO | PID:19344 | Found worker class: UrlRewriterParallelWorker
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | WARNING | PID:19344 | Detected localhost connection - disabling SSL verification for development
2025-06-23 08:30:00 | WARNING | PID:19344 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 08:30:00 | INFO | PID:19344 | Worker instance created
2025-06-23 08:30:00 | INFO | PID:19344 | Registered worker process 19344 in registry
2025-06-23 08:30:00 | INFO | PID:19344 | Starting consuming on article-request-queue
2025-06-23 08:30:00 | INFO | PID:19344 | Started url_rewriter_para_request_worker on queue: article-request-queue
2025-06-23 08:30:00 | INFO | PID:19344 | Started url_rewriter_para_request_worker with PID: 19344, queue: article-request-queue
2025-06-23 08:30:05 | WARNING | PID:19344 | No open connection/channel: connecting...
2025-06-23 08:30:05 | INFO | PID:19344 | Successfully connected on attempt 1
2025-06-23 08:30:05 | INFO | PID:19344 | Consumer registered on queue: article-request-queue
2025-06-23 08:30:05 | INFO | PID:19344 | Starting consuming on article-request-queue
2025-06-23 08:30:18 | INFO | PID:19344 | Processing message from queue: article-request-queue
2025-06-23 08:30:34 | INFO | PID:19344 | Successfully authenticated with API
2025-06-23 08:30:34 | INFO | PID:19344 | Making GET request to /api/article-type/replace-output-variable/ (Attempt 1/3)
2025-06-23 08:30:34 | INFO | PID:19344 | Successfully authenticated with API
2025-06-23 08:30:34 | INFO | PID:19344 | Making GET request to /api/supportive-prompt/replace-output-variable/ (Attempt 1/3)
2025-06-23 08:30:40 | INFO | PID:19344 | Successfully authenticated with API
2025-06-23 08:30:40 | INFO | PID:19344 | Making POST request to /message-service-api/ai-message/add/ (Attempt 1/3)
2025-06-23 08:31:02 | INFO | PID:19344 | xxxxxxxxxxxxxxxxxxxxxxxxx url_rewriter_para_request_worker xxxxxxxxxxxxxxxxxxxxxxxxx
2025-06-23 08:31:02 | INFO | PID:19344 | Message processed in 44.00 seconds
2025-06-23 08:31:02 | INFO | PID:19344 | Message acknowledged
2025-06-23 08:31:07 | WARNING | PID:19344 | No open connection/channel: connecting...
2025-06-23 08:31:07 | INFO | PID:19344 | Successfully connected on attempt 1
2025-06-23 08:31:07 | INFO | PID:19344 | Consumer registered on queue: article-request-queue
2025-06-23 08:31:07 | INFO | PID:19344 | Starting consuming on article-request-queue
2025-06-23 09:04:01 | INFO | PID:24908 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-23 09:04:01 | INFO | PID:24908 | Created new channel
2025-06-23 09:04:01 | INFO | PID:24908 | Declared queue: article-request-queue
2025-06-23 09:04:02 | INFO | PID:24908 | Available workers: ['testworker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-06-23 09:04:02 | INFO | PID:24908 | Found worker class: UrlRewriterParallelWorker
2025-06-23 09:04:02 | WARNING | PID:24908 | Detected localhost connection - disabling SSL verification for development
2025-06-23 09:04:02 | WARNING | PID:24908 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 09:04:02 | WARNING | PID:24908 | Detected localhost connection - disabling SSL verification for development
2025-06-23 09:04:02 | WARNING | PID:24908 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-23 09:04:02 | WARNING | PID:24908 | Detected localhost connection - disabling SSL verification for development
