2025-06-06 10:43:44 | INFO | PID:24012 | Queue 'article-output-queue' created successfully
2025-06-06 10:44:26 | INFO | PID:29128 | Starting worker url_rewriter_para_response_worker for queue article-input-queue
2025-06-06 10:44:26 | INFO | PID:29128 | Created new channel
2025-06-06 10:44:26 | INFO | PID:29128 | Declared queue: article-input-queue
2025-06-06 10:44:26 | INFO | PID:29128 | Available workers: ['testworker', 'url_rewriter_para_response_worker', 'url_rewriter_para_worker']
2025-06-06 10:44:26 | INFO | PID:29128 | Found worker class: UrlRewriterParallelWorker
2025-06-06 10:44:27 | WARNING | PID:29128 | Detected localhost connection - disabling SSL verification for development
2025-06-06 10:44:27 | WARNING | PID:29128 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-06 10:44:27 | INFO | PID:29128 | Worker instance created
2025-06-06 10:44:27 | INFO | PID:29128 | Registered worker process 29128 in registry
2025-06-06 10:44:27 | INFO | PID:29128 | Starting consuming on article-input-queue
2025-06-06 10:44:27 | INFO | PID:29128 | Started url_rewriter_para_response_worker on queue: article-input-queue
2025-06-06 10:44:27 | INFO | PID:29128 | Started url_rewriter_para_response_worker with PID: 29128, queue: article-input-queue
2025-06-06 10:44:32 | WARNING | PID:29128 | No open connection/channel: connecting...
2025-06-06 10:44:32 | INFO | PID:29128 | Successfully connected on attempt 1
2025-06-06 10:44:32 | INFO | PID:29128 | Consumer registered on queue: article-input-queue
2025-06-06 10:44:32 | INFO | PID:29128 | Starting consuming on article-input-queue
2025-06-06 10:44:32 | INFO | PID:29128 | Processing message from queue: article-input-queue
