2025-06-24 09:55:13 | INFO | PID:13268 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-24 09:55:13 | INFO | PID:13268 | Created new channel
2025-06-24 09:55:13 | INFO | PID:13268 | Declared queue: article-request-queue
2025-06-24 09:55:13 | INFO | PID:13268 | Available workers: ['testworker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-06-24 09:55:13 | INFO | PID:13268 | Found worker class: UrlRewriterParallelWorker
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | WARNING | PID:13268 | Detected localhost connection - disabling SSL verification for development
2025-06-24 09:55:13 | WARNING | PID:13268 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-24 09:55:13 | INFO | PID:13268 | Worker instance created
2025-06-24 09:55:13 | INFO | PID:13268 | Registered worker process 13268 in registry
2025-06-24 09:55:13 | INFO | PID:13268 | Starting consuming on article-request-queue
2025-06-24 09:55:14 | INFO | PID:13268 | Started url_rewriter_para_request_worker on queue: article-request-queue
2025-06-24 09:55:14 | INFO | PID:13268 | Started url_rewriter_para_request_worker with PID: 13268, queue: article-request-queue
2025-06-24 09:55:18 | WARNING | PID:13268 | No open connection/channel: connecting...
2025-06-24 09:55:18 | INFO | PID:13268 | Successfully connected on attempt 1
2025-06-24 09:55:18 | INFO | PID:13268 | Consumer registered on queue: article-request-queue
2025-06-24 09:55:18 | INFO | PID:13268 | Starting consuming on article-request-queue
2025-06-24 09:55:34 | INFO | PID:13268 | Processing message from queue: article-request-queue
2025-06-24 09:55:50 | INFO | PID:13268 | Successfully authenticated with API
2025-06-24 09:55:50 | INFO | PID:13268 | Making GET request to /api/article-type/replace-output-variable/ (Attempt 1/3)
2025-06-24 09:55:50 | INFO | PID:13268 | Successfully authenticated with API
2025-06-24 09:55:50 | INFO | PID:13268 | Making GET request to /api/supportive-prompt/replace-output-variable/ (Attempt 1/3)
2025-06-24 09:55:58 | INFO | PID:13268 | Successfully authenticated with API
