2025-05-26 10:59:57 | INFO | PID:12144 | Queue 'article-input-queue' created successfully
2025-05-26 11:00:15 | INFO | PID:21944 | Starting worker url_rewriter_para_worker for queue article-input-queue
2025-05-26 11:00:15 | INFO | PID:21944 | Created new channel
2025-05-26 11:00:15 | INFO | PID:21944 | Declared queue: article-input-queue
2025-05-26 11:00:15 | INFO | PID:21944 | Available workers: ['testworker', 'url_rewriter_para_worker']
2025-05-26 11:00:15 | INFO | PID:21944 | Found worker class: UrlRewriterParallelWorker
2025-05-26 11:00:15 | INFO | PID:21944 | Worker instance created
2025-05-26 11:00:15 | INFO | PID:21944 | Registered worker process 21944 in registry
2025-05-26 11:00:15 | INFO | PID:21944 | Starting consuming on article-input-queue
2025-05-26 11:00:16 | INFO | PID:21944 | Started url_rewriter_para_worker on queue: article-input-queue
2025-05-26 11:00:16 | INFO | PID:21944 | Started url_rewriter_para_worker with PID: 21944, queue: article-input-queue
2025-05-26 11:00:20 | WARNING | PID:21944 | No open connection/channel: connecting...
2025-05-26 11:00:20 | INFO | PID:21944 | Successfully connected on attempt 1
2025-05-26 11:00:20 | INFO | PID:21944 | Consumer registered on queue: article-input-queue
2025-05-26 11:00:20 | INFO | PID:21944 | Starting consuming on article-input-queue
2025-05-26 11:00:41 | INFO | PID:21944 | Processing message from queue: article-input-queue
2025-05-26 11:00:41 | INFO | PID:21944 | Processing message: {'message': {'articl_slug_id': '455d0700-4b47-41b8-9b16-ca7845129a6e', 'url': 'xxxx', 'wp_status': 'draft', 'article_status': 'initiate', 'wp_schedule_time': None, 'wp_author_id': None, 'wp_tag_id': ['3108933d-c6cf-401b-bb4e-01d6cd1dc0c9', '68707f06-4b67-46cc-8dcb-b4205d7095e8', 'ab7ac541-fcc0-462a-ab2d-0ac1afee0019'], 'is_category_selected_by_ai': True, 'is_category_generated_by_ai': True, 'is_tag_selected_by_ai': False, 'is_tag_generated_by_ai': True, 'is_author_selected_by_ai': True, 'is_meta_description_generated_by_ai': True, 'is_meta_keyword_generated_by_ai': True, 'is_meta_title_generated_by_ai': True, 'is_internal_links_generated_by_ai': True, 'is_external_links_generated_by_ai': True, 'prompt_id': {'prompt_slug_id': '4ef0224f-c88b-40e4-8d85-d14abbc51938', 'prompt_name': 'test', 'model': 'gpt-4', 'prompt_data': {'text': 'test'}, 'wordpress_prompt_json_data': {'supportive_prompt_test_id': '2b9bdbc7-ff9d-44b4-beee-85585631cf4d'}, 'article_type_id': {'article_type_slug_id': '8024d4c4-8344-49b1-b39f-79324024060c', 'category': 'url', 'article_category': 'rephrase', 'article_type_title': 'reper', 'article_type_description': 'reper', 'article_type_field_id': [{'article_type_field_slug_id': '8dbd1c5d-5246-4f50-8ee6-a1e9fb9092fc', 'article_type_field_label': 'text', 'article_type_field_name': 'text', 'article_type_field_type': 'text', 'article_type_field_placeholder': 'text', 'article_type_field_required': True}]}}, 'variables': [{'variable_slug_id': '8a2e11c2-8e5b-4f43-bf44-bf3db3ef9d53', 'name': 'dfgdfdf', 'value': 'dfgdfg', 'required': True}], 'domain_id': {'domain_slug_id': '25fca9b7-d9a3-42b9-be7b-eadf062716d6', 'domain_name': 'ronak-wolf.botxbyte.com', 'permalinks': '/%year%/%hour%/%postname%/'}, 'workspace_id': {'workspace_slug_id': '57dc902e-4449-4083-9b56-328eb9d16334', 'workspace_name': 'bxb-1'}}, 'timestamp': '2025-05-26T11:00:41.009812', 'message_id': '296b39dd-28c6-409b-a2e4-acfb2ceeb892'}
2025-05-26 11:00:41 | INFO | PID:21944 | Message processed in 0.02 seconds
2025-05-26 11:00:41 | INFO | PID:21944 | Message acknowledged
2025-05-26 11:03:30 | INFO | PID:14068 | Starting worker url_rewriter_para_worker for queue article-input-queue
2025-05-26 11:03:30 | INFO | PID:14068 | Created new channel
2025-05-26 11:03:30 | INFO | PID:14068 | Declared queue: article-input-queue
2025-05-26 11:03:30 | INFO | PID:14068 | Available workers: ['testworker', 'url_rewriter_para_worker']
2025-05-26 11:03:30 | INFO | PID:14068 | Found worker class: UrlRewriterParallelWorker
2025-05-26 11:03:30 | INFO | PID:14068 | Worker instance created
2025-05-26 11:03:30 | INFO | PID:14068 | Registered worker process 14068 in registry
2025-05-26 11:03:30 | INFO | PID:14068 | Starting consuming on article-input-queue
2025-05-26 11:03:31 | INFO | PID:14068 | Started url_rewriter_para_worker on queue: article-input-queue
2025-05-26 11:03:31 | INFO | PID:14068 | Started url_rewriter_para_worker with PID: 14068, queue: article-input-queue
2025-05-26 11:03:35 | WARNING | PID:14068 | No open connection/channel: connecting...
2025-05-26 11:03:35 | INFO | PID:14068 | Successfully connected on attempt 1
2025-05-26 11:03:35 | INFO | PID:14068 | Consumer registered on queue: article-input-queue
2025-05-26 11:03:35 | INFO | PID:14068 | Starting consuming on article-input-queue
2025-05-26 11:06:53 | INFO | PID:9584 | Starting worker url_rewriter_para_worker for queue article-input-queue
2025-05-26 11:06:53 | INFO | PID:9584 | Created new channel
2025-05-26 11:06:53 | INFO | PID:9584 | Declared queue: article-input-queue
