2025-04-10 10:11:33 | ERROR | PID:30464 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:11:48 | ERROR | PID:30464 | Error in create_queue: 
2025-04-10 10:12:51 | ERROR | PID:23464 | Error in list_queues: HTTPConnectionPool(host='localhost', port=15672): Max retries exceeded with url: /api/queues (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001DB32E39B40>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-04-10 10:16:17 | INFO | PID:24752 | Queue 'article-input-queue' created successfully
2025-04-10 10:16:54 | ERROR | PID:24752 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:17:14 | ERROR | PID:24752 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:17:27 | ERROR | PID:24752 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:17:46 | ERROR | PID:24752 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:18:11 | ERROR | PID:24752 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:18:32 | ERROR | PID:29244 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:19:31 | ERROR | PID:29244 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:19:33 | ERROR | PID:29244 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:19:35 | ERROR | PID:29244 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:19:47 | INFO | PID:29244 | Queue 'article-input-queue' created successfully
2025-04-10 10:19:58 | ERROR | PID:29244 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:20:33 | ERROR | PID:1584 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:20:38 | INFO | PID:1584 | Queue 'article-input-queue' created successfully
2025-04-10 10:20:43 | ERROR | PID:1584 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:22:27 | INFO | PID:1584 | Queue 'article-input-queue' created successfully
2025-04-10 10:22:39 | ERROR | PID:1584 | Error loading worker module url_rewriter_para_worker: cannot import name 'ScraperService' from 'app.workers.worker_url_rewriter_para.scraper_lmabda' (C:\Users\DELL\Desktop\botxbyte\rabbitmq-flask-service-main\app\workers\worker_url_rewriter_para\scraper_lmabda.py)
2025-04-10 10:24:51 | INFO | PID:8256 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-10 10:24:54 | INFO | PID:8256 | Started worker process 28964
2025-04-10 10:27:53 | INFO | PID:14520 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-10 10:27:56 | INFO | PID:14520 | Started worker process 20248
2025-04-10 10:49:45 | INFO | PID:25932 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-10 10:49:48 | INFO | PID:25932 | Started worker process 15764
2025-04-10 10:52:48 | INFO | PID:27052 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-10 10:52:51 | INFO | PID:27052 | Started worker process 24208
2025-04-10 10:56:04 | INFO | PID:3888 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-10 10:56:07 | INFO | PID:3888 | Started worker process 30168
2025-04-10 10:57:21 | INFO | PID:4000 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-10 10:57:24 | INFO | PID:4000 | Started worker process 31212
2025-04-10 10:58:17 | INFO | PID:14428 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-10 10:58:20 | INFO | PID:14428 | Started worker process 26808
