2025-07-31 08:32:48 | INFO | PID:6804 | Attempting to verify queue 'article-content-request-queue'
2025-07-31 08:32:48 | INFO | PID:6804 | RabbitMQ Host: localhost, Port: 15672
2025-07-31 08:32:50 | INFO | PID:6804 | Successfully created channel
2025-07-31 08:32:50 | INFO | PID:6804 | Attempting AMQP check for queue 'article-content-request-queue'
2025-07-31 08:32:50 | INFO | PID:6804 | Queue 'article-content-request-queue' exists (verified via AMQP)
2025-07-31 08:33:06 | INFO | PID:11744 | Starting worker url_rewriter_content_request_worker for queue article-content-request-queue
2025-07-31 08:33:07 | INFO | PID:11744 | Created new channel
2025-07-31 08:33:07 | INFO | PID:11744 | Declared queue: article-content-request-queue
2025-07-31 08:33:08 | INFO | PID:11744 | Available workers: ['testworker', 'url_rewriter_content_request_worker', 'url_rewriter_content_response_worker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-07-31 08:33:08 | INFO | PID:11744 | Found worker class: UrlRewriterParallelWorker
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
2025-07-31 08:33:08 | WARNING | PID:11744 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-07-31 08:33:08 | WARNING | PID:11744 | Detected localhost connection - disabling SSL verification for development
